order_id,product_id,quantity,unit_price,line_total,discount_percent
ORD00000001,PROD000044,5,231.93,1159.65,15
ORD00000002,PROD000007,6,464.85,2789.1,10
ORD00000003,PROD000288,8,33.45,267.6,10
ORD00000003,PROD000158,6,418.37,2510.22,15
ORD00000004,PROD000017,7,333.4,2333.8,0
ORD00000004,PROD000339,1,466.8,466.8,0
ORD00000004,PROD000402,8,180.42,1443.36,20
ORD00000005,PROD000142,10,131.25,1312.5,0
ORD00000005,PROD000277,3,121.28,363.84,5
ORD00000006,PROD000467,10,282.44,2824.4,5
ORD00000006,PROD000155,8,257.7,2061.6,20
ORD00000006,PROD000132,4,14.98,59.92,15
ORD00000007,PROD000140,5,90.04,450.2,10
ORD00000007,PROD000001,4,80.2,320.8,5
ORD00000007,PROD000322,6,80.08,480.48,5
ORD00000007,PROD000213,10,397.49,3974.9,5
ORD00000008,PROD000292,3,423.35,1270.05,5
ORD00000009,PROD000102,5,104.43,522.15,5
ORD00000009,PROD000160,4,488.6,1954.4,15
ORD00000009,PROD000285,9,58.83,529.47,10
ORD00000009,PROD000225,1,475.13,475.13,5
ORD00000010,PROD000415,1,329.15,329.15,0
ORD00000011,PROD000317,1,138.7,138.7,10
ORD00000011,PROD000153,3,328.87,986.61,10
ORD00000011,PROD000169,10,181.74,1817.4,0
ORD00000012,PROD000163,6,283.29,1699.74,10
ORD00000012,PROD000097,1,463.82,463.82,10
ORD00000012,PROD000005,10,409.78,4097.8,0
ORD00000013,PROD000370,5,283.03,1415.15,20
ORD00000014,PROD000187,1,327.51,327.51,20
ORD00000014,PROD000363,10,484.3,4843.0,10
ORD00000014,PROD000435,9,176.11,1584.99,5
ORD00000014,PROD000057,9,326.85,2941.65,20
ORD00000015,PROD000469,9,378.76,3408.84,0
ORD00000015,PROD000448,6,241.83,1450.98,10
ORD00000016,PROD000463,2,118.46,236.92,0
ORD00000017,PROD000130,1,104.51,104.51,5
ORD00000017,PROD000116,2,73.11,146.22,15
ORD00000017,PROD000082,7,164.95,1154.65,20
ORD00000017,PROD000324,2,422.27,844.54,20
ORD00000017,PROD000352,8,207.96,1663.68,15
ORD00000018,PROD000316,1,281.45,281.45,15
ORD00000019,PROD000346,7,324.44,2271.08,15
ORD00000020,PROD000290,1,211.73,211.73,0
ORD00000020,PROD000294,2,288.29,576.58,20
ORD00000021,PROD000461,1,391.4,391.4,5
ORD00000021,PROD000345,2,452.4,904.8,5
ORD00000021,PROD000181,9,198.16,1783.44,0
ORD00000021,PROD000283,6,352.9,2117.4,15
ORD00000021,PROD000272,9,314.09,2826.81,15
ORD00000022,PROD000123,8,461.74,3693.92,20
ORD00000023,PROD000393,9,276.21,2485.89,20
ORD00000024,PROD000392,8,203.11,1624.88,10
ORD00000024,PROD000375,9,394.34,3549.06,20
ORD00000024,PROD000399,6,187.79,1126.74,20
ORD00000024,PROD000339,10,466.8,4668.0,5
ORD00000024,PROD000175,5,339.66,1698.3,15
ORD00000025,PROD000242,7,247.84,1734.88,10
ORD00000025,PROD000417,10,416.88,4168.8,10
ORD00000026,PROD000293,2,350.45,700.9,5
ORD00000026,PROD000068,7,367.8,2574.6,5
ORD00000026,PROD000076,8,316.58,2532.64,15
ORD00000026,PROD000153,8,328.87,2630.96,20
ORD00000027,PROD000490,6,374.02,2244.12,5
ORD00000027,PROD000285,5,58.83,294.15,0
ORD00000027,PROD000407,1,103.62,103.62,5
ORD00000027,PROD000253,9,253.06,2277.54,10
ORD00000028,PROD000069,1,356.87,356.87,5
ORD00000028,PROD000250,5,10.67,53.35,10
ORD00000029,PROD000187,5,327.51,1637.55,5
ORD00000030,PROD000340,6,408.5,2451.0,5
ORD00000030,PROD000377,6,69.52,417.12,0
ORD00000030,PROD000432,4,223.37,893.48,20
ORD00000031,PROD000305,3,104.49,313.47,10
ORD00000031,PROD000162,9,470.42,4233.78,5
ORD00000031,PROD000050,5,329.93,1649.65,0
ORD00000032,PROD000406,3,114.11,342.33,5
ORD00000032,PROD000310,1,399.91,399.91,15
ORD00000032,PROD000102,6,104.43,626.58,5
ORD00000032,PROD000362,9,164.89,1484.01,0
ORD00000033,PROD000424,6,37.75,226.5,10
ORD00000033,PROD000049,9,331.49,2983.41,5
ORD00000033,PROD000083,4,247.95,991.8,20
ORD00000033,PROD000452,9,107.76,969.84,15
ORD00000033,PROD000214,2,255.88,511.76,0
ORD00000034,PROD000499,9,322.98,2906.82,10
ORD00000034,PROD000339,6,466.8,2800.8,20
ORD00000034,PROD000208,4,324.89,1299.56,10
ORD00000034,PROD000290,10,211.73,2117.3,10
ORD00000035,PROD000480,4,396.91,1587.64,15
ORD00000035,PROD000472,5,156.81,784.05,10
ORD00000035,PROD000011,9,159.8,1438.2,5
ORD00000036,PROD000177,1,354.49,354.49,15
ORD00000036,PROD000459,7,330.22,2311.54,20
ORD00000036,PROD000259,5,163.69,818.45,15
ORD00000036,PROD000014,3,89.13,267.39,0
ORD00000037,PROD000432,1,223.37,223.37,15
ORD00000037,PROD000304,9,171.78,1546.02,10
ORD00000037,PROD000136,6,400.11,2400.66,0
